"","logFC","logCPM","PValue","FDR"
"YHR215W",-4.73428690455798,7.5038027714485,0,0
"YML123C",-4.66857350145616,9.0060260453969,0,0
"YGR234W",-3.96281540211994,7.89747001646545,0,0
"YER011W",-3.91599049689668,6.90810678887044,0,0
"YER081W",3.35154611057517,9.26477559457469,0,0
"YDR077W",-3.34206231536887,11.4837214138999,0,0
"YMR120C",-3.27622760667471,8.25049404329173,0,0
"YDR033W",-3.17379651829438,8.30124991084196,0,0
"YIL169C",-2.95817649749375,7.46313016286168,0,0
"YDR342C",-2.95460518779332,11.0703818404927,0,0
"YFR015C",-2.83648108970147,9.24276039561368,0,0
"YLR058C",-2.65934427573942,8.93811150846074,0,0
"YCL030C",-2.40365891334816,8.76850019675316,0,0
"YPR160W",-2.25385854037992,8.23426242222615,0,0
"YBR067C",-2.24862035931631,8.22863071164852,0,0
"YOR153W",-2.08204188021411,9.27972342820531,0,0
"YHR092C",-2.01343778913468,9.84482759378177,0,0
"YDR365W-B",-1.99846794942036,10.031206089217,0,0
"YER067W",-1.98170129454386,8.73581903630232,0,0
"YLR258W",-1.9643380390307,8.72005628704474,0,0
"YFR053C",-1.49760817346419,10.2055808241263,0,0
"YLL026W",-1.42639037504288,9.6267203036234,0,0
"R0010W",1.14322709732109,10.2299273454466,0,0
"R0020C",1.12168661160274,10.1686553034413,0,0
"YAL005C",-1.10863255475013,10.4357675930272,0,0
"YHR174W",-1.07650178253221,13.9806149443831,0,0
"YJL052W",-1.04573041968218,10.4206890874418,0,0
"YPL061W",-1.04053718078513,10.7209468312393,0,0
"YAL038W",-1.00232760281702,13.2423113519376,0,0
"YOR383C",0.743878531811385,11.4148191771903,0,0
"YDL229W",-0.69140255445307,11.3358354584424,0,0
"YGR192C",-0.646273351678086,14.7485204731559,0,0
"YOL086C",-0.582006717581391,14.262286802282,0,0
"YJL159W",-0.555610548048509,12.1270532087062,0,0
"YLR044C",-0.543851322362366,13.6382236383551,0,0
"R0040C",1.24758737816103,10.0086796798368,2.83026989773937e-310,4.65186305136774e-308
"YOL109W",-2.23905630722418,7.86012801356579,1.73410371229289e-306,2.77315990963162e-304
"YKR080W",-3.22681647882079,7.58521759116983,6.55969929083975e-306,1.02141422904997e-303
"YKR075C",1.32011116334128,9.42549193382515,4.3301518820237e-299,6.56961761177801e-297
"YLR154W-C",-0.931436719273973,10.1637730902307,9.26095502196981e-299,1.36992677162488e-296
"YEL071W",1.56089018982752,8.96421044650565,7.79604133337994e-292,1.12510186755144e-289
"YGL008C",-0.634187492172862,11.2768874128699,3.17704045732499e-288,4.47584485380761e-286
"YOR374W",0.865100001644107,10.4994608773515,3.58471658170764e-287,4.93273674743352e-285
